 ,Area,Mean,Min,Max
794,94,255,255,255
795,83,255,255,255
796,126,255,255,255
797,108,255,255,255
798,120,255,255,255
799,63,255,255,255
800,72,255,255,255
801,74,255,255,255
802,118,255,255,255
803,169,255,255,255
804,83,255,255,255
805,81,255,255,255
806,72,255,255,255
807,129,255,255,255
808,155,255,255,255
809,81,255,255,255
810,169,255,255,255
811,96,255,255,255
812,140,255,255,255
813,44,255,255,255
814,110,255,255,255
815,118,255,255,255
816,119,255,255,255
817,98,255,255,255
818,89,255,255,255
819,163,255,255,255
820,150,255,255,255
821,82,255,255,255
822,68,255,255,255
823,109,255,255,255
824,177,255,255,255
825,90,255,255,255
826,110,255,255,255
827,106,255,255,255
828,104,255,255,255
829,149,255,255,255
830,123,255,255,255
831,76,255,255,255
832,67,255,255,255
833,93,255,255,255
834,89,255,255,255
835,174,255,255,255
836,123,255,255,255
837,118,255,255,255
838,156,255,255,255
839,118,255,255,255
840,106,255,255,255
841,125,255,255,255
842,89,255,255,255
843,105,255,255,255
844,107,255,255,255
845,144,255,255,255
846,102,255,255,255
847,125,255,255,255
848,66,255,255,255
849,85,255,255,255
850,105,255,255,255
851,136,255,255,255
852,59,255,255,255
853,90,255,255,255
854,159,255,255,255
855,92,255,255,255
856,90,255,255,255
857,72,255,255,255
858,151,255,255,255
859,71,255,255,255
860,103,255,255,255
861,90,255,255,255
862,80,255,255,255
863,161,255,255,255
864,94,255,255,255
865,91,255,255,255
866,59,255,255,255
867,66,255,255,255
868,96,255,255,255
869,80,255,255,255
870,90,255,255,255
871,127,255,255,255
872,88,255,255,255
873,159,255,255,255
874,82,255,255,255
875,68,255,255,255
876,85,255,255,255
877,64,255,255,255
878,146,255,255,255
879,86,255,255,255
880,116,255,255,255
881,149,255,255,255
882,73,255,255,255
883,120,255,255,255
884,113,255,255,255
885,109,255,255,255
886,110,255,255,255
887,99,255,255,255
888,137,255,255,255
889,119,255,255,255
890,92,255,255,255
891,132,255,255,255
892,76,255,255,255
893,159,255,255,255
894,70,255,255,255
895,75,255,255,255
896,76,255,255,255
897,105,255,255,255
898,79,255,255,255
899,124,255,255,255
900,134,255,255,255
901,179,255,255,255
902,143,255,255,255
903,74,255,255,255
904,168,255,255,255
905,81,255,255,255
906,91,255,255,255
907,158,255,255,255
908,86,255,255,255
909,148,255,255,255
910,71,255,255,255
911,81,255,255,255
912,45,255,255,255
913,92,255,255,255
914,82,255,255,255
915,93,255,255,255
916,101,255,255,255
917,97,255,255,255
918,94,255,255,255
919,155,255,255,255
920,84,255,255,255
921,83,255,255,255
922,118,255,255,255
923,86,255,255,255
924,145,255,255,255
925,85,255,255,255
926,105,255,255,255
927,100,255,255,255
928,142,255,255,255
929,75,255,255,255
930,96,255,255,255
931,77,255,255,255
932,80,255,255,255
933,99,255,255,255
934,100,255,255,255
935,136,255,255,255
936,69,255,255,255
937,116,255,255,255
938,73,255,255,255
939,153,255,255,255
940,88,255,255,255
941,92,255,255,255
942,108,255,255,255
943,83,255,255,255
944,90,255,255,255
945,58,255,255,255
946,122,255,255,255
947,100,255,255,255
948,74,255,255,255
